uka_id,site_id,name,region,environment_type,latitude,longitude,detail_url,target_pollutants,configured_streams
UKA01118,ASHC,Ashington Centre,North East,Urban Background,55.182956,-1.567043,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01118,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2025-12-22""}, {""pollutant"": ""PM10"", ""start_date"": ""2025-12-22""}]"
UKA01155,DARF,Darlington Firthmoor,North East,Urban Background,54.516956,-1.534526,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01155,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2026-04-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2026-04-01""}]"
UKA00645,HSAW,Hartlepool St Abbs Walk,North East,Urban Background,54.683242,-1.203838,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00645,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2022-05-12""}, {""pollutant"": ""PM10"", ""start_date"": ""2022-05-11""}, {""pollutant"": ""NO2"", ""start_date"": ""2017-10-17""}]"
UKA01085,KIEW,Kielder Water,North East,Rural Background,55.18158,-2.45317,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01085,,[]
UKA00220,MID,Middlesbrough,North East,Urban Background,54.569297,-1.220874,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00220,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-11-13""}, {""pollutant"": ""PM10"", ""start_date"": ""1995-04-21""}, {""pollutant"": ""NO2"", ""start_date"": ""1995-04-21""}]"
UKA00213,NEWC,Newcastle Centre,North East,Urban Background,54.97825,-1.610528,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00213,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-08-24""}, {""pollutant"": ""PM10"", ""start_date"": ""1992-03-08""}, {""pollutant"": ""NO2"", ""start_date"": ""1992-03-08""}]"
UKA00528,NCA3,Newcastle Cradlewell Roadside,North East,Urban Traffic,54.986405,-1.595362,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00528,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-12-10""}, {""pollutant"": ""PM10"", ""start_date"": ""2018-02-13""}, {""pollutant"": ""NO2"", ""start_date"": ""2008-03-10""}]"
UKA01159,NOSC,North Shields Chirton,North East,Urban Background,55.010756,-1.475944,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01159,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2026-05-20""}, {""pollutant"": ""PM10"", ""start_date"": ""2026-05-20""}]"
UKA01154,REMW,Redcar Milford Walk,North East,Urban Background,54.600476,-1.077845,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01154,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2026-02-04""}, {""pollutant"": ""PM10"", ""start_date"": ""2026-02-04""}]"
UKA00599,SOTR,Stockton-on-Tees A1305 Roadside,North East,Urban Traffic,54.565819,-1.3159,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00599,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2016-02-26""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-05-01""}]"
UKA00535,EAGL,Stockton-on-Tees Eaglescliffe,North East,Urban Traffic,54.516667,-1.358547,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00535,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-09-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2008-09-01""}, {""pollutant"": ""NO2"", ""start_date"": ""2009-01-21""}]"
UKA00484,SUN2,Sunderland Silksworth,North East,Urban Background,54.88361,-1.406878,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00484,"PM2.5,PM10,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2008-12-09""}, {""pollutant"": ""PM10"", ""start_date"": ""2019-09-27""}, {""pollutant"": ""NO2"", ""start_date"": ""2004-12-09""}]"
UKA00601,SUNR,Sunderland Wessington Way,North East,Urban Traffic,54.91839,-1.408391,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00601,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-11-19""}, {""pollutant"": ""NO2"", ""start_date"": ""2015-01-15""}]"
UKA00625,BBRD,Birkenhead Borough Road,North West,Urban Traffic,53.388624,-3.024942,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00625,"PM2.5,NO2","[{""pollutant"": ""PM2.5"", ""start_date"": ""2024-12-04""}, {""pollutant"": ""NO2"", ""start_date"": ""2016-08-18""}]"
UKA00590,BLAR,Blackburn Accrington Road,North West,Urban Traffic,53.747763,-2.45268,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00590,NO2,"[{""pollutant"": ""NO2"", ""start_date"": ""2014-05-12""}]"
UKA01025,BLAP,Blackburn Audley Park,North West,Urban Background,53.74673,-2.467873,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA01025,"PM2.5,PM10","[{""pollutant"": ""PM2.5"", ""start_date"": ""2023-09-01""}, {""pollutant"": ""PM10"", ""start_date"": ""2023-09-01""}]"
