date,region,station_code,uka_id,station_name,environment_type,latitude,longitude,pollutant,daily_mean_ug_m3,hourly_observations,ratified_hourly_observations,provisional_hourly_observations,as_supplied_hourly_observations,excluded_status_observations,hour_ending_24_observations,source_time_basis,data_status,expected_hours,minimum_required_hours,completeness_percent,valid_daily_mean,who_2021_24h_aqg_ug_m3,above_who_reference,comparison_status,provisional,source_url
2026-07-17,East Midlands,CHLG,UKA00604,Chesterfield Loundsley Green,Urban Background,53.244131,-1.454946,PM2.5,18.701,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/CHLG_2026.csv?v=1
2026-07-17,East Midlands,CHS7,UKA00529,Chesterfield Roadside,Urban Traffic,53.231751,-1.456928,PM2.5,22.654,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/CHS7_2026.csv?v=1
2026-07-17,East Midlands,DESA,UKA00630,Derby St Alkmund's Way,Urban Traffic,52.922983,-1.469507,PM2.5,19.696,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/DESA_2026.csv?v=1
2026-07-17,East Midlands,DESB,UKA01027,Derby Stockbrook Park,Urban Background,52.916059,-1.492166,PM2.5,17.476,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/DESB_2026.csv?v=1
2026-07-17,East Midlands,LECU,UKA00573,Leicester University,Urban Background,52.619904,-1.127182,PM2.5,17.196,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LECU_2026.csv?v=1
2026-07-17,East Midlands,LEIR,UKA00609,Leicester A594 Roadside,Urban Traffic,52.638742,-1.124267,PM2.5,19.492,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LEIR_2026.csv?v=1
2026-07-17,East Midlands,LOTA,UKA01103,Loughborough Thorpe Acre,Urban Background,52.780359,-1.227659,PM2.5,17.897,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LOTA_2026.csv?v=1
2026-07-17,East Midlands,MALA,UKA01050,Mansfield Ladybrook,Urban Background,53.145302,-1.208302,PM2.5,18.257,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/MALA_2026.csv?v=1
2026-07-17,East Midlands,NOTB,UKA01092,Nottingham Bilborough,Urban Background,52.969102,-1.230107,PM2.5,17.817,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NOTB_2026.csv?v=1
2026-07-17,East Midlands,NOTK,UKA01048,Nottingham Kenmore Gardens,Urban Background,52.959441,-1.13865,PM2.5,19.904,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NOTK_2026.csv?v=1
2026-07-17,East Midlands,NTN4,UKA00632,Northampton Spring Park,Urban Background,52.272257,-0.916605,PM2.5,16.417,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NTN4_2026.csv?v=1
2026-07-17,East Midlands,NWBV,UKA00618,Nottingham Western Boulevard,Urban Traffic,52.969377,-1.188851,PM2.5,18.838,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NWBV_2026.csv?v=1
2026-07-17,East of England,CAMK,UKA01115,Cambridge King's Hedges,Urban Background,52.230135,0.139191,PM2.5,17.183,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/CAMK_2026.csv?v=1
2026-07-17,East of England,LUTR,UKA00605,Luton A505 Roadside,Urban Traffic,51.892293,-0.46211,PM2.5,17.229,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LUTR_2026.csv?v=1
2026-07-17,East of England,NO12,UKA00549,Norwich Lakenfields,Urban Background,52.614823,1.302686,PM2.5,13.567,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NO12_2026.csv?v=1
2026-07-17,East of England,PEGE,UKA01052,Peterborough Garton End,Urban Background,52.594012,-0.248945,PM2.5,16.446,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/PEGE_2026.csv?v=1
2026-07-17,East of England,SEND,UKA00409,Southend-on-Sea,Urban Background,51.544166,0.678331,PM2.5,14.416,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/SEND_2026.csv?v=1
2026-07-17,East of England,SOUS,UKA01096,Southend Shoeburyness,Urban Background,51.537836,0.792578,PM2.5,13.246,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/SOUS_2026.csv?v=1
2026-07-17,East of England,STGW,UKA01156,Stevenage St Georges Way South,Urban Traffic,51.903112,-0.19937,PM2.5,16.561,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/STGW_2026.csv?v=1
2026-07-17,London,CLL2,UKA00211,London Bloomsbury,Urban Background,51.52229,-0.125889,PM2.5,14.196,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/CLL2_2026.csv?v=1
2026-07-17,London,HIL,UKA00266,London Hillingdon,Urban Background,51.49633,-0.460861,PM2.5,15.288,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/HIL_2026.csv?v=1
2026-07-17,London,HORS,UKA00435,London Westminster,Urban Background,51.49467,-0.131931,PM2.5,14.403,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/HORS_2026.csv?v=1
2026-07-17,London,HRL,UKA00472,London Harlington,Urban Industrial,51.48879,-0.441614,PM2.5,13.454,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/HRL_2026.csv?v=1
2026-07-17,London,LONC,UKA01119,London A406 N Circular,Urban Traffic,51.614224,-0.059503,PM2.5,15.881,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LONC_2026.csv?v=1
2026-07-17,London,LONM,UKA01100,London Norbury Manor School,Urban Background,51.41004,-0.12748,PM2.5,14.106,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LONM_2026.csv?v=1
2026-07-17,London,TED2,UKA00572,London Teddington Bushy Park,Urban Background,51.425286,-0.345606,PM2.5,13.696,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/TED2_2026.csv?v=1
2026-07-17,North East,ASHC,UKA01118,Ashington Centre,Urban Background,55.182956,-1.567043,PM2.5,13.269,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/ASHC_2026.csv?v=1
2026-07-17,North East,DARF,UKA01155,Darlington Firthmoor,Urban Background,54.516956,-1.534526,PM2.5,15.176,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/DARF_2026.csv?v=1
2026-07-17,North East,EAGL,UKA00535,Stockton-on-Tees Eaglescliffe,Urban Traffic,54.516667,-1.358547,PM2.5,14.708,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/EAGL_2026.csv?v=1
2026-07-17,North East,HSAW,UKA00645,Hartlepool St Abbs Walk,Urban Background,54.683242,-1.203838,PM2.5,15.545,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/HSAW_2026.csv?v=1
2026-07-17,North East,MID,UKA00220,Middlesbrough,Urban Background,54.569297,-1.220874,PM2.5,14.0,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/MID_2026.csv?v=1
2026-07-17,North East,NEWC,UKA00213,Newcastle Centre,Urban Background,54.97825,-1.610528,PM2.5,14.917,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NEWC_2026.csv?v=1
2026-07-17,North East,NOSC,UKA01159,North Shields Chirton,Urban Background,55.010756,-1.475944,PM2.5,13.837,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/NOSC_2026.csv?v=1
2026-07-17,North East,REMW,UKA01154,Redcar Milford Walk,Urban Background,54.600476,-1.077845,PM2.5,15.598,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/REMW_2026.csv?v=1
2026-07-17,North East,SOTR,UKA00599,Stockton-on-Tees A1305 Roadside,Urban Traffic,54.565819,-1.3159,PM2.5,16.0,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/SOTR_2026.csv?v=1
2026-07-17,North East,SUN2,UKA00484,Sunderland Silksworth,Urban Background,54.88361,-1.406878,PM2.5,15.133,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/SUN2_2026.csv?v=1
2026-07-17,North East,SUNR,UKA00601,Sunderland Wessington Way,Urban Traffic,54.91839,-1.408391,PM2.5,13.453,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/SUNR_2026.csv?v=1
2026-07-17,North West,BBRD,UKA00625,Birkenhead Borough Road,Urban Traffic,53.388624,-3.024942,PM2.5,18.319,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/BBRD_2026.csv?v=1
2026-07-17,North West,BLAP,UKA01025,Blackburn Audley Park,Urban Background,53.74673,-2.467873,PM2.5,17.36,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/BLAP_2026.csv?v=1
2026-07-17,North West,BLC2,UKA00488,Blackpool Marton,Urban Background,53.80489,-3.007175,PM2.5,18.532,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/BLC2_2026.csv?v=1
2026-07-17,North West,BLWD,UKA01049,Blackpool Whitegate Drive,Urban Traffic,53.810975,-3.033232,PM2.5,18.347,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/BLWD_2026.csv?v=1
2026-07-17,North West,CARM,UKA00932,Carlisle Morton A595,Urban Traffic,54.885823,-2.964955,PM2.5,14.708,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,False,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/CARM_2026.csv?v=1
2026-07-17,North West,COPP,UKA00659,Crewe Coppenhall,Urban Background,53.115941,-2.453492,PM2.5,19.438,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/COPP_2026.csv?v=1
2026-07-17,North West,ECCL,UKA00339,Salford Eccles,Urban Background,53.48481,-2.334139,PM2.5,20.62,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/ECCL_2026.csv?v=1
2026-07-17,North West,LVP,UKA00247,Liverpool Speke,Urban Industrial,53.34633,-2.844333,PM2.5,17.75,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LVP_2026.csv?v=1
2026-07-17,North West,LVPT,UKA01095,Liverpool Thirlmere Park,Urban Background,53.424225,-2.960989,PM2.5,18.362,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/LVPT_2026.csv?v=1
2026-07-17,North West,MAHG,UKA00617,Manchester Sharston,Suburban Industrial,53.371722,-2.238917,PM2.5,20.872,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/MAHG_2026.csv?v=1
2026-07-17,North West,MAN3,UKA00248,Manchester Piccadilly,Urban Background,53.48152,-2.237881,PM2.5,24.171,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/MAN3_2026.csv?v=1
2026-07-17,North West,MIMW,UKA01051,Middlewich St Michael's Way,Urban Traffic,53.194019,-2.447951,PM2.5,20.342,24,0,24,0,0,1,GMT hour ending; daily aggregation uses the printed source calendar date,contains_provisional,24,18,100.0,True,15.0,True,assessed_contextual_reference,True,https://uk-air.defra.gov.uk/datastore/data_files/site_data/MIMW_2026.csv?v=1
